Concepto/Cod.Op.	Fecha	Comprobante	Sucursal	Importe	Descripción		Cod.Op.Bco.	CUIT	Denominación	BANCO	ES GASTO MENSUAL	Cod. Op.	FECHA RESUMEN	OBSERVACION	CUENTA
RRSIRCREB	2024-10-01	20241	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45566	SIRCREB	
LEY25413CR	2024-10-01	5643449	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45566	IMP CREDITO	425115/00
RRSIRCREB	2024-10-01	20241	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45566	SIRCREB	
LEY25413CR	2024-10-01	5640400	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45566	IMP CREDITO	425115/00
COMISIONES	2024-10-01	6868	PERCEPCION DE IVA		Cobro Comisiones Bca.Empr		450	17	18	CHACO	SI	673	45566	COMISIONES	425102/21
IVA Alicuota General	2024-10-01	6868	SUC  10		IVA alicuota gral.21 %		S69	17	18	CHACO	SI	S02	45566	IVA	
LEY25413DB	2024-10-01	6868	SUC  10		Impuesto al D.bito Ley 25		DEP.EFVO	17	18	CHACO	SI	N24	45566	IMP DEBITO	425107/00
LEY25413DB	2024-10-01	6868	SUC  10		Impuesto al D.bito Ley 25		DEP.EFVO	17	18	CHACO	SI	N24	45566	IMP DEBITO	425107/00
RRSIRCREB	2024-10-03	20241	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45568	SIRCREB	
LEY25413CR	2024-10-03	5651951	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45568	IMP CREDITO	425115/00
RRSIRCREB	2024-10-04	20241	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45569	SIRCREB	
LEY25413CR	2024-10-04	5655370	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45569	IMP CREDITO	425115/00
RRSIRCREB	2024-10-08	20241	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45573	SIRCREB	
RRSIRCREB	2024-10-08	20241	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45573	SIRCREB	
LEY25413CR	2024-10-08	5661614	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45573	IMP CREDITO	425115/00
LEY25413CR	2024-10-08	5664462	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45573	IMP CREDITO	425115/00
RRSIRCREB	2024-10-08	20241	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45573	SIRCREB	
LEY25413CR	2024-10-08	5658960	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45573	IMP CREDITO	425115/00
RRSIRCREB	2024-10-09	20241	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45574	SIRCREB	
LEY25413CR	2024-10-09	5668926	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45574	IMP CREDITO	425115/00
RRSIRCREB	2024-10-10	20241	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45575	SIRCREB	
LEY25413CR	2024-10-10	5671757	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45575	IMP CREDITO	425115/00
RRSIRCREB	2024-10-14	20242	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45579	SIRCREB	
LEY25413CR	2024-10-14	5674549	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45579	IMP CREDITO	425115/00
RRSIRCREB	2024-10-15	20242	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45580	SIRCREB	
LEY25413CR	2024-10-15	5682031	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45580	IMP CREDITO	425115/00
RRSIRCREB	2024-10-15	20242	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45580	SIRCREB	
RRSIRCREB	2024-10-15	20242	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45580	SIRCREB	
LEY25413CR	2024-10-15	5677439	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45580	IMP CREDITO	425115/00
LEY25413CR	2024-10-15	5679746	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45580	IMP CREDITO	425115/00
RRSIRCREB	2024-10-16	20242	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45581	SIRCREB	
LEY25413CR	2024-10-16	5686943	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45581	IMP CREDITO	425115/00
RRSIRCREB	2024-10-17	20242	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45582	SIRCREB	
LEY25413CR	2024-10-17	5689645	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45582	IMP CREDITO	425115/00
RRSIRCREB	2024-10-18	20242	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45583	SIRCREB	
LEY25413CR	2024-10-18	5692580	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45583	IMP CREDITO	425115/00
CH/CAMARA	2024-10-21	5569942	PERCEPCION DE IVA	-143000000	Pago de cheque Por Camara		440	17	18	CHACO	NO	S16		GASTO	
LEY25413DB	2024-10-21	5569942	SUC  10	-858000	Impuesto al D.bito Ley 25		DEP.EFVO	17	18	CHACO	SI	N24	45586	IMP DEBITO	425107/00
RRSIRCREB	2024-10-21	20243	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45586	SIRCREB	
LEY25413CR	2024-10-21	5695778	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45586	IMP CREDITO	425115/00
RRSIRCREB	2024-10-22	20243	SUC  10	-9363	Sircreb		413	17	18	CHACO	SI	S69	45587	SIRCREB	
RRSIRCREB	2024-10-22	20243	SUC  10	-8221	Sircreb		413	17	18	CHACO	SI	S69	45587	SIRCREB	
LEY25413CR	2024-10-22	5699178	SUC  10	-6242	Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45587	IMP CREDITO	425115/00
LEY25413CR	2024-10-22	5702543	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45587	IMP CREDITO	425115/00
RRSIRCREB	2024-10-23	20243	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45588	SIRCREB	
LEY25413CR	2024-10-23	5708041	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45588	IMP CREDITO	425115/00
RRSIRCREB	2024-10-24	20243	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45589	SIRCREB	
LEY25413CR	2024-10-24	5710781	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45589	IMP CREDITO	425115/00
RRSIRCREB	2024-10-28	20243	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45593	SIRCREB	
LEY25413CR	2024-10-28	5716569	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45593	IMP CREDITO	425115/00
RRSIRCREB	2024-10-29	20243	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45594	SIRCREB	
LEY25413CR	2024-10-29	5722582	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45594	IMP CREDITO	425115/00
RRSIRCREB	2024-10-29	20243	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45594	SIRCREB	
LEY25413CR	2024-10-29	5719707	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45594	IMP CREDITO	425115/00
RRSIRCREB	2024-10-30	20243	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45595	SIRCREB	
LEY25413CR	2024-10-30	5728297	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45595	IMP CREDITO	425115/00
